,Names,Writers,rates
0,독립일기,자까,9.97
1,연애혁명,232,9.87
2,쇼미더럭키짱!,박태준 / 김성모,9.39
3,더 복서,정지훈,9.92
4,신림/남/22,박태준 만화회사,5.20
5,나노마신,현절무 / 금강불괴 / 한...,9.93
6,기기괴괴,오성대,9.90
7,이두나!,민송아,9.75
8,나 혼자 네크...,김경열 / 김동준 / 지점장,9.90
9,현실퀘스트,이주운 / 태성,9.80
10,정글쥬스,형은 / 쥬더,9.94
11,천마육성,광휘 / 조형근,9.81
12,신비,반지,9.98
13,무사만리행,운 / 배민기,9.94
14,특수청소,한(恨),9.87
15,묵시의 인플루...,조석,9.90
16,겟백,세윤,9.98
17,갓트,서패스 / 아거주누,9.87
18,별을 삼킨 너...,ARI,9.93
19,포식동물,신희빈 / 치훈,9.91
20,하드캐리,조양,9.91
21,불편한 관계,잔스,9.97
22,던전 씹어먹는...,엄키 / 제로워터,9.89
23,쿠베라,카레곰,9.96
24,트롤트랩,유비,9.94
25,꽃만 키우는데...,주현후 / 쿰타타,9.97
26,국세청 망나니,엘가 / 신스 / 동면거북이,9.84
27,부캐인생,까를로스 / 징크,9.73
28,최강전설 강해효,최병열,9.62
29,오빠세끼,올리브유,9.77
30,아인슈페너,한끼룩,9.93
31,가족같은 XX,서우현,9.95
32,진짜 진짜 이...,서후 / 해인,9.88
33,완벽한 결혼의...,영 / 제리볼 / 이범배,9.83
34,"오, 친애하는...",오쏘 / 벨마 / 미나토,9.94
35,마왕까지 한 ...,윤홍,9.97
36,따개비,뜰새 / delete / ...,9.53
37,만능잡캐,"키보드만세, 홍실 / 김대훈",9.79
38,흑막 여주가 ...,이산시 / 하리힌 / 목감기,9.98
39,선남친 후연애,곰곰 / 정미 / 왕기대,9.91
40,만물의 영장,보민,9.97
41,마계인섬,초,9.74
42,시월드 판타지,진돌 / 히디,9.90
43,마법사랑해,명랑 / 청설모,9.96
44,네가 죽기를 ...,기매 / 아란 / 진서,9.92
45,베어케어,꽃소금 / 김용원,9.64
46,안개무덤,김태영,9.94
47,"그 개, 만두",호정,9.98
48,온에어,심복일,9.87
49,루커피쳐,효정,9.96
50,킬더킹,마사토끼 / joana,9.66
51,어차피 남편은!,찡나,9.90
52,달의 요람,이정선,3.67
53,야만의 시대,신의철 / 장대현,9.79
54,침묵의 밤,한동우 / Q-Ha,9.88
55,마녀의 심판은...,은백 / 서현,9.96
56,가상&...,주다현,9.93
57,THE 런웨이,도미 / 녹두,9.78
58,온새미로,여우 / 사문,9.91
59,소녀180,나우원 / 델라,9.96
60,배트맨: 웨인...,CRC Payne / St...,9.84
61,그 황제가 시...,화영 / 용끄 / 블루밍부케,9.95
62,해시의 신루,명랑 / INUS / 윤이수,9.96
63,아빠같은 남자,이수민,9.76
64,이계 무슨 황비,전현서 / GUA,9.93
65,환상연가,반지운,9.97
66,나쁜 마법사의...,이아거,8.23
67,소년의 기록,베어리,9.71
68,폭탄주먹 변대장,엄재경 / 지야프,9.63
69,유리와 유리와...,요엔,9.97
70,성스러운 아이돌,스튜디오M / 악사 / 신...,9.97
71,돌아온 여기사,이하린 / 하늘미르,9.88
72,보물과 괴물의...,이을,9.95
73,평범한 낙원,후드새,9.88
74,카루나,강호진,9.78
75,모어 라이프,이아영,9.92
76,온실 속 화초,옛사람,9.96
77,칼과 방울,유승진,9.71
78,어느날 네가 ...,해영채,9.90
79,멸망X초이스,텐,9.86
